lab_sample_num, drainage_cl
91P0795,somewhat poorly
91P0796,moderately well
91P0796,moderately well
91P0819,moderately well
91P0819,moderately well
91P0820,moderately well
91P0821,moderately well
91P0822,moderately well
91P0822,moderately well
91P0823,well
91P0823,well
91P0824,well
91P0824,well
91P0825,moderately well
91P0825,moderately well
91P0826,well
91P0826,well
91P0827,well
91P0827,well
02N0204,poorly
02N0204,poorly
01N0907,moderately well
01N0908,moderately well
01N1135,moderately well
01N1136,moderately well
02N0138,well
02N0138,well
02N0139,moderately well
02N0140,well
01N0906,well
01N0329,poorly
01N0329,poorly
01N0327,well
01N0327,well
01N0328,poorly
01N0328,poorly
01N0332,well
01N0332,well
01N0330,well
01N0330,well
01N0331,well
01N0331,well
01N1138,
02N0514,somewhat poorly
02N0514,somewhat poorly
02N0513,well
02N0515,somewhat poorly
02N0515,somewhat poorly
01N1149,well
03N0722,moderately well
03N0722,moderately well
03N0981,
01N1149,
04N1070,well
05N0027,
